Player,Matches Played,Avg Runs per Match,Strike Rate,Batting Position,Opponent Team,Venue,Previous Match Runs,Form (Last 5 Innings Avg.),Predicted Runs
Shahrukh Khan,23,21.23,109.25,4,SRH,M. A. Chidambaram,61,36.01,30
KS Bharat,92,22.23,138.45,3,PBKS,Wankhede,12,62.13,50
Jitesh Sharma,15,32.03,101.13,7,GT,Narendra Modi,13,87.57,66
Matthew Wade,257,51.27,118.42,7,LSG,M. A. Chidambaram,6,67.35,74
Prithvi Shaw,130,36.43,114.43,5,GT,Arun Jaitley,113,17.63,35
Shivam Dube,113,21.64,124.11,2,RR,M. A. Chidambaram,42,47.66,38
Abhishek Sharma,68,36.6,137.31,7,CSK,Eden Gardens,60,59.5,57
Hardik Pandya,74,37.7,124.55,4,MI,Arun Jaitley,57,13.65,19
Rahmanullah Gurbaz,298,48.26,142.29,6,CSK,Narendra Modi,11,26.35,31
Liam Livingstone,140,40.53,132.82,4,GT,Eden Gardens,35,17.43,33
KS Bharat,146,24.03,124.9,4,PBKS,Arun Jaitley,84,66.1,46
Rahmanullah Gurbaz,110,26.89,118.21,2,CSK,M. A. Chidambaram,57,39.62,48
Mayank Agarwal,290,39.62,165.84,5,SRH,Chinnaswamy,14,63.16,57
Sanju Samson,56,52.54,108.91,5,RR,Arun Jaitley,92,57.92,50
Cameron Green,105,35.89,149.0,2,PBKS,Narendra Modi,8,59.11,48
Nitish Rana,53,21.08,148.07,7,KKR,Narendra Modi,117,64.31,38
Riyan Parag,163,34.07,104.84,6,RCB,Narendra Modi,58,86.12,72
Devdutt Padikkal,279,41.58,105.26,5,LSG,DY Patil,114,74.23,57
Rahul Tripathi,130,22.11,177.86,3,PBKS,Narendra Modi,78,78.28,40
Yashasvi Jaiswal,185,43.45,169.3,4,PBKS,M. A. Chidambaram,89,42.71,33
Shreyas Iyer,186,33.6,144.08,4,MI,Arun Jaitley,24,35.43,36
Rahmanullah Gurbaz,38,28.22,105.42,1,CSK,M. A. Chidambaram,34,77.77,64
Ruturaj Gaikwad,91,46.56,151.64,1,CSK,Wankhede,29,25.22,47
Ishan Kishan,285,38.9,143.76,2,CSK,Chinnaswamy,41,71.42,67
Dinesh Karthik,40,34.46,101.63,6,RR,Eden Gardens,26,55.01,36
Heinrich Klaasen,219,34.34,115.65,6,PBKS,DY Patil,114,29.62,43
Rahul Tripathi,18,37.04,116.77,7,SRH,Wankhede,22,67.33,42
Glenn Maxwell,115,20.41,115.2,4,MI,Arun Jaitley,110,39.53,34
Abhishek Sharma,37,42.67,138.41,7,RCB,M. A. Chidambaram,59,37.61,36
Heinrich Klaasen,132,47.82,173.29,7,RCB,Arun Jaitley,42,19.25,40
Ruturaj Gaikwad,286,21.23,162.61,4,PBKS,Narendra Modi,98,25.43,14
Ishan Kishan,78,37.26,112.33,3,RR,Chinnaswamy,47,72.54,57
KL Rahul,121,50.72,171.13,6,GT,DY Patil,53,49.4,44
Faf du Plessis,32,34.44,150.47,1,PBKS,DY Patil,50,88.65,56
Jitesh Sharma,234,54.72,158.15,7,KKR,Eden Gardens,41,15.27,34
Andre Russell,54,29.13,159.04,6,RCB,M. A. Chidambaram,61,82.49,63
Washington Sundar,134,36.16,109.04,6,KKR,Arun Jaitley,0,31.51,29
Ruturaj Gaikwad,157,51.68,133.83,7,SRH,Wankhede,18,53.1,59
Ajinkya Rahane,132,50.55,145.88,3,DC,DY Patil,27,61.83,62
Manish Pandey,80,25.16,164.77,4,MI,M. A. Chidambaram,52,30.78,36
Nitish Rana,204,44.03,137.69,5,RR,M. A. Chidambaram,28,52.21,43
Moeen Ali,202,29.33,113.29,7,KKR,Narendra Modi,45,10.04,34
MS Dhoni,213,36.94,145.22,7,SRH,Eden Gardens,26,76.85,47
Faf du Plessis,202,27.76,133.11,4,CSK,Narendra Modi,91,76.15,54
Abhishek Sharma,190,32.47,178.4,3,GT,Arun Jaitley,86,83.03,62
Liam Livingstone,215,30.82,146.63,3,SRH,Chinnaswamy,78,54.69,51
Shreyas Iyer,26,32.04,132.92,4,MI,M. A. Chidambaram,94,81.65,72
Glenn Maxwell,10,45.25,157.87,4,KKR,M. A. Chidambaram,75,66.1,52
Kane Williamson,38,27.85,152.14,3,PBKS,M. A. Chidambaram,112,18.77,32
Shimron Hetmyer,245,32.51,109.48,2,RCB,Chinnaswamy,49,32.45,31
Shikhar Dhawan,47,26.6,140.89,1,GT,Wankhede,71,73.41,49
Ravindra Jadeja,268,39.25,130.23,3,GT,Wankhede,37,36.95,32
Shikhar Dhawan,150,41.1,150.39,6,LSG,M. A. Chidambaram,5,48.07,60
Matthew Wade,83,29.82,119.04,4,DC,Arun Jaitley,100,82.02,64
Rinku Singh,182,33.73,177.52,3,PBKS,DY Patil,44,20.87,35
Sam Curran,224,29.28,107.99,7,SRH,DY Patil,52,14.51,21
Ishan Kishan,260,43.76,162.6,2,SRH,Wankhede,72,56.26,58
Suyash Sharma,265,21.01,137.33,7,CSK,Narendra Modi,90,45.04,35
Shimron Hetmyer,165,22.62,146.43,3,MI,Wankhede,57,44.07,24
David Miller,23,40.48,130.28,3,LSG,M. A. Chidambaram,77,14.9,18
Nitish Rana,47,28.58,128.75,3,RCB,Arun Jaitley,48,62.0,52
Pat Cummins,180,53.43,125.86,5,CSK,DY Patil,6,63.34,69
Ajinkya Rahane,188,23.12,114.38,7,LSG,Arun Jaitley,17,39.25,34
Suryakumar Yadav,251,53.31,141.12,6,RCB,DY Patil,92,64.35,68
Venkatesh Iyer,54,46.06,118.55,2,CSK,Wankhede,40,37.77,33
Riyan Parag,27,46.04,106.43,1,RCB,DY Patil,29,50.5,45
Shreyas Iyer,40,52.37,153.16,2,RCB,Eden Gardens,69,60.66,59
Matthew Wade,38,39.97,157.96,5,KKR,Narendra Modi,60,36.38,30
Ben Stokes,138,45.02,135.33,2,SRH,Wankhede,110,10.15,39
Devon Conway,86,21.04,128.98,4,CSK,Arun Jaitley,75,47.78,43
Krunal Pandya,123,38.42,114.89,5,SRH,Narendra Modi,85,66.81,43
Krunal Pandya,49,26.05,153.69,2,DC,DY Patil,33,30.03,25
David Warner,87,30.39,117.85,5,GT,Wankhede,116,19.75,29
Shivam Dube,40,27.72,175.48,6,RCB,Wankhede,117,20.28,38
Heinrich Klaasen,288,38.64,142.29,7,KKR,Arun Jaitley,72,27.81,28
Dinesh Karthik,28,22.97,139.17,3,LSG,Eden Gardens,50,86.68,62
Shikhar Dhawan,273,52.51,139.22,3,GT,DY Patil,89,54.8,54
Heinrich Klaasen,286,31.23,162.77,1,RR,M. A. Chidambaram,69,46.15,41
Quinton de Kock,101,47.09,127.6,3,MI,Arun Jaitley,25,10.59,42
Josh Inglis,192,31.66,118.93,1,PBKS,Arun Jaitley,54,40.86,29
Ruturaj Gaikwad,15,32.57,113.13,4,LSG,M. A. Chidambaram,83,12.43,32
Liam Livingstone,195,39.44,150.81,1,SRH,Wankhede,83,53.8,41
Shikhar Dhawan,28,54.37,145.62,5,DC,DY Patil,14,73.59,79
Abhishek Sharma,235,50.04,166.13,6,LSG,Narendra Modi,1,11.56,21
Devon Conway,76,28.58,142.58,4,DC,Wankhede,74,55.15,39
Ruturaj Gaikwad,109,46.51,123.29,6,SRH,Narendra Modi,89,10.95,19
Matthew Wade,88,34.59,123.37,3,KKR,Wankhede,74,84.53,51
Dawid Malan,131,36.5,122.98,6,DC,Eden Gardens,14,33.4,35
Devdutt Padikkal,144,36.39,128.33,3,RCB,Arun Jaitley,73,18.73,32
Rahul Tripathi,161,44.28,154.08,6,KKR,DY Patil,106,48.2,61
Jitesh Sharma,72,33.44,154.12,1,RR,Eden Gardens,96,57.16,48
Glenn Maxwell,153,25.96,145.58,4,GT,Eden Gardens,79,65.84,56
Ravindra Jadeja,249,27.38,116.77,3,RR,DY Patil,90,61.42,35
Rahmanullah Gurbaz,168,25.76,165.22,5,CSK,Wankhede,87,58.74,35
Kane Williamson,98,21.53,128.24,2,LSG,Eden Gardens,94,69.88,57
Sam Curran,102,49.17,124.64,1,RCB,Narendra Modi,83,45.85,53
Devon Conway,180,39.21,117.84,4,MI,Wankhede,17,62.21,54
Prithvi Shaw,152,36.29,101.76,3,MI,Chinnaswamy,59,75.86,70
Jos Buttler,64,26.35,172.8,7,KKR,Chinnaswamy,77,89.9,66
Ravindra Jadeja,173,31.87,145.7,6,CSK,Wankhede,44,53.39,48
Kyle Mayers,54,25.21,141.42,3,CSK,DY Patil,32,29.02,24
Mayank Agarwal,129,38.46,171.71,6,SRH,Chinnaswamy,76,64.57,52
Krunal Pandya,18,38.21,136.01,6,CSK,Wankhede,38,17.65,31
Manish Pandey,64,25.26,102.28,2,LSG,Chinnaswamy,1,66.94,36
Dawid Malan,85,54.04,145.65,5,LSG,Eden Gardens,7,48.18,60
Jonny Bairstow,37,36.21,163.73,2,RR,Arun Jaitley,46,17.78,30
Andre Russell,144,47.77,164.9,4,MI,Eden Gardens,101,62.52,62
Rahmanullah Gurbaz,253,38.99,133.11,3,DC,Arun Jaitley,1,38.04,30
Ishan Kishan,215,26.11,145.08,3,CSK,Arun Jaitley,98,62.36,51
Pat Cummins,284,20.9,174.89,5,LSG,Narendra Modi,12,10.55,19
Riyan Parag,239,22.93,159.0,4,PBKS,Arun Jaitley,12,27.6,34
Noor Ahmad,33,54.83,138.49,5,PBKS,Narendra Modi,69,11.69,39
Suryakumar Yadav,102,41.32,176.94,5,SRH,DY Patil,63,73.55,68
Tim David,101,52.03,119.58,2,GT,Wankhede,112,61.12,54
Josh Inglis,58,32.57,104.42,6,RR,M. A. Chidambaram,5,88.33,54
Mayank Agarwal,147,33.72,143.24,7,CSK,M. A. Chidambaram,113,17.47,21
Suyash Sharma,174,32.17,105.47,5,GT,Narendra Modi,43,14.32,19
Ben Stokes,95,50.61,135.26,3,GT,M. A. Chidambaram,6,52.33,58
Tilak Varma,157,35.64,145.07,1,SRH,Chinnaswamy,22,57.85,44
Harpreet Singh,204,43.37,146.18,3,LSG,Eden Gardens,6,11.41,40
Washington Sundar,294,46.63,133.52,1,SRH,Narendra Modi,106,78.89,57
Krunal Pandya,121,30.68,143.74,4,GT,DY Patil,9,84.0,51
Venkatesh Iyer,223,54.96,125.24,3,DC,Chinnaswamy,67,76.41,57
Ruturaj Gaikwad,236,43.96,140.62,3,DC,DY Patil,94,83.63,73
Nicholas Pooran,187,28.86,178.73,1,GT,Arun Jaitley,53,31.63,45
Shubman Gill,210,44.87,177.31,6,DC,Arun Jaitley,116,66.04,47
Quinton de Kock,220,37.45,164.96,4,CSK,Eden Gardens,48,48.12,49
Kane Williamson,91,33.47,141.02,1,RR,Eden Gardens,31,74.2,57
Jos Buttler,291,21.9,132.19,1,SRH,Arun Jaitley,61,57.38,36
Deepak Hooda,274,34.94,101.04,6,MI,Wankhede,73,86.0,73
Sai Sudharsan,168,25.83,106.68,2,PBKS,M. A. Chidambaram,32,25.75,31
Ishan Kishan,188,40.95,103.64,1,RR,DY Patil,57,76.36,74
Ben Stokes,161,20.83,115.82,6,PBKS,M. A. Chidambaram,75,73.13,62
Ajinkya Rahane,195,33.27,161.42,4,SRH,Chinnaswamy,15,30.75,31
Chetan Sakariya,209,54.05,117.23,4,RR,Narendra Modi,44,38.2,51
Faf du Plessis,61,47.47,131.56,7,PBKS,Chinnaswamy,83,45.27,41
Heinrich Klaasen,46,37.51,137.79,2,PBKS,Chinnaswamy,7,46.05,52
Quinton de Kock,92,35.2,132.97,2,GT,Eden Gardens,25,80.08,65
Kane Williamson,96,22.15,109.69,7,SRH,DY Patil,33,79.7,51
Tilak Varma,29,49.14,129.14,2,KKR,Arun Jaitley,59,21.3,35
Liam Livingstone,61,28.45,109.92,2,LSG,Narendra Modi,4,78.1,60
Sai Sudharsan,196,25.87,101.09,2,KKR,Chinnaswamy,52,86.17,54
Axar Patel,13,22.32,139.09,4,PBKS,DY Patil,113,84.85,57
Kyle Mayers,108,46.6,158.55,1,LSG,Eden Gardens,107,53.11,49
Nitish Rana,126,53.07,168.73,3,PBKS,Eden Gardens,33,30.95,44
KS Bharat,154,27.21,122.2,7,KKR,M. A. Chidambaram,58,66.94,50
Shimron Hetmyer,54,54.56,157.09,4,LSG,Eden Gardens,82,28.77,49
Riyan Parag,36,20.89,147.62,5,GT,Wankhede,100,65.48,36
Rilee Rossouw,20,43.92,177.71,1,DC,Arun Jaitley,118,62.92,54
Devdutt Padikkal,151,42.07,117.55,3,KKR,Narendra Modi,9,74.35,60
Andre Russell,198,21.08,116.94,2,DC,Arun Jaitley,72,86.79,53
Marcus Stoinis,270,30.95,100.88,7,GT,Eden Gardens,98,59.52,49
Ravindra Jadeja,245,39.43,156.68,4,SRH,Wankhede,54,33.52,31
Shivam Dube,105,50.82,113.32,5,CSK,M. A. Chidambaram,79,77.65,59
Axar Patel,40,50.56,115.1,4,RR,Eden Gardens,116,49.26,61
Hardik Pandya,127,26.81,133.81,5,DC,Eden Gardens,15,32.89,42
Rahmanullah Gurbaz,229,37.68,154.75,4,PBKS,M. A. Chidambaram,69,66.87,58
Tilak Varma,152,24.85,144.32,3,CSK,Wankhede,35,83.64,45
Suyash Sharma,200,36.09,106.42,7,MI,DY Patil,109,48.02,41
Shubman Gill,150,32.23,137.55,4,DC,Arun Jaitley,46,33.31,47
Devon Conway,158,43.19,119.89,1,LSG,Wankhede,1,39.64,51
Rohit Sharma,34,51.52,110.99,3,LSG,Narendra Modi,72,83.35,68
Will Jacks,126,22.42,121.14,2,DC,Chinnaswamy,18,51.5,27
Chetan Sakariya,230,23.6,156.6,3,PBKS,M. A. Chidambaram,112,78.85,43
Jason Roy,43,48.96,160.73,3,KKR,M. A. Chidambaram,101,35.01,47
Abhishek Sharma,204,23.68,149.52,6,KKR,Chinnaswamy,8,35.53,45
Sarfaraz Khan,281,52.58,138.75,3,RR,Wankhede,84,80.66,79
Faf du Plessis,134,25.97,141.74,7,DC,DY Patil,109,88.89,47
David Miller,274,37.64,100.76,5,KKR,Arun Jaitley,37,20.07,23
Rohit Sharma,138,25.26,102.08,4,LSG,Arun Jaitley,33,46.05,36
Will Jacks,263,30.22,176.63,5,SRH,DY Patil,114,27.63,25
Chetan Sakariya,294,53.95,126.9,7,KKR,Eden Gardens,62,53.87,57
KS Bharat,90,45.39,135.29,6,DC,Wankhede,67,81.5,76
Rinku Singh,84,42.47,123.85,1,MI,DY Patil,120,47.95,36
Shikhar Dhawan,86,31.73,134.64,7,RR,Wankhede,59,24.63,36
Dawid Malan,123,54.88,141.51,4,SRH,Narendra Modi,13,57.09,48
Sai Sudharsan,138,29.09,176.45,5,RCB,Narendra Modi,95,44.2,48
Shreyas Iyer,167,25.61,157.19,3,RCB,Eden Gardens,104,29.8,27
Sai Sudharsan,135,40.67,153.65,3,MI,Wankhede,106,55.3,47
Andre Russell,158,29.93,133.88,1,LSG,M. A. Chidambaram,30,66.33,63
Jos Buttler,291,50.61,150.29,2,DC,Eden Gardens,67,48.81,49
Prithvi Shaw,188,44.36,179.04,6,GT,Wankhede,110,48.15,46
Moeen Ali,246,51.5,149.99,6,RCB,Chinnaswamy,26,68.42,50
Shahrukh Khan,108,26.03,105.09,6,KKR,Chinnaswamy,81,54.58,50
Andre Russell,238,40.76,102.96,1,SRH,M. A. Chidambaram,43,46.31,48
Krunal Pandya,241,41.6,162.82,7,LSG,Chinnaswamy,72,55.35,41
David Miller,67,22.79,110.46,3,CSK,Wankhede,62,54.54,44
Cameron Green,69,33.97,178.97,4,CSK,DY Patil,8,36.8,26
Axar Patel,21,27.86,104.59,3,KKR,M. A. Chidambaram,108,78.16,51
Nitish Rana,295,29.01,126.95,5,MI,Eden Gardens,32,26.05,41
Sarfaraz Khan,75,34.69,159.39,4,KKR,Chinnaswamy,68,45.82,36
Abhishek Sharma,55,25.33,143.98,3,RCB,M. A. Chidambaram,20,18.61,18
Marcus Stoinis,212,21.68,116.83,7,SRH,Wankhede,50,29.92,38
Ravindra Jadeja,128,48.11,167.9,1,LSG,Wankhede,77,41.89,46
Shubman Gill,297,54.63,109.33,5,KKR,Wankhede,5,31.08,53
Deepak Hooda,189,43.68,137.29,2,MI,Chinnaswamy,34,11.74,38
Pat Cummins,76,45.31,143.01,6,PBKS,Chinnaswamy,52,69.82,52
Washington Sundar,65,34.74,106.42,5,RR,Arun Jaitley,71,65.43,50
Jason Roy,57,25.99,138.04,3,PBKS,Chinnaswamy,97,35.75,21
Axar Patel,87,40.76,162.82,3,RCB,Narendra Modi,109,64.52,47
Kyle Mayers,288,36.28,126.29,2,MI,Eden Gardens,89,10.27,17
Hardik Pandya,12,54.44,116.65,7,SRH,Chinnaswamy,46,78.85,74
Rahul Tripathi,288,35.31,112.46,4,LSG,Chinnaswamy,58,30.36,43
Rinku Singh,29,34.13,149.12,2,GT,DY Patil,62,24.63,25
Marcus Stoinis,216,25.82,158.68,1,DC,Chinnaswamy,15,35.46,40
Sam Curran,52,30.92,134.63,4,RR,M. A. Chidambaram,68,14.9,31
Nicholas Pooran,279,30.08,172.95,2,PBKS,Chinnaswamy,43,14.25,30
Marcus Stoinis,92,42.95,138.14,2,KKR,Narendra Modi,37,42.15,47
Shubman Gill,206,37.7,152.52,6,MI,Narendra Modi,67,78.37,67
Josh Inglis,138,54.02,174.35,3,KKR,Eden Gardens,82,77.13,70
Hardik Pandya,216,24.55,102.33,3,RCB,M. A. Chidambaram,23,74.83,62
Travis Head,214,42.12,143.16,4,GT,Arun Jaitley,64,72.41,64
Riyan Parag,193,42.19,141.86,2,RCB,Arun Jaitley,81,27.98,44
Sanju Samson,227,52.21,123.42,2,MI,Narendra Modi,59,16.57,34
Jason Roy,240,48.87,137.17,5,DC,M. A. Chidambaram,110,19.85,32
Sam Curran,81,26.01,168.15,7,RR,M. A. Chidambaram,90,33.62,34
Andre Russell,260,37.28,108.14,7,SRH,Narendra Modi,85,39.18,30
Shikhar Dhawan,247,20.61,171.53,1,GT,Arun Jaitley,112,13.19,22
Liam Livingstone,114,35.24,155.32,2,CSK,M. A. Chidambaram,32,77.52,70
Rinku Singh,35,40.01,106.98,1,CSK,M. A. Chidambaram,116,62.22,58
Liam Livingstone,120,39.48,110.67,4,RR,DY Patil,53,46.32,43
Moeen Ali,258,46.18,116.84,6,SRH,M. A. Chidambaram,73,58.23,48
Axar Patel,216,32.54,149.06,7,MI,Chinnaswamy,33,46.03,54
Sanju Samson,237,50.41,145.93,5,SRH,Narendra Modi,69,27.54,29
David Miller,234,23.08,100.92,7,RCB,Arun Jaitley,40,51.56,31
Nitish Rana,222,24.43,133.29,5,MI,Chinnaswamy,4,62.91,38
Deepak Hooda,22,29.7,150.93,6,MI,Wankhede,101,33.68,37
Rohit Sharma,187,21.74,138.45,2,CSK,Arun Jaitley,13,37.06,20
David Miller,17,20.21,139.31,3,MI,DY Patil,77,21.34,33
Yashasvi Jaiswal,175,48.85,137.19,1,KKR,Arun Jaitley,107,43.3,43
